14145a5e, 29-1-2020-1-34-44, 0c, 12
f02d5b5e, 1-2-2020--3-37-20, 04, 4
89f1585e, 28-1-2020-4-55-5, 00, 0
31f1585e, 28-1-2020-4-53-37, 00, 0
6591595e, 28-1-2020-16-17-9, 0a, 10
6699595e, 28-1-2020-16-51-18, 06, 6
070f7b5e, 25-2-2020-1-57-59, 02, 2
7b007b5e, 25-2-2020-0-55-55, 05, 5
1ab17a5e, 24-2-2020-19-17-14, 0a, 10
0d2a595e, 28-1-2020-8-56-13, 07, 7
c81a7b5e, 25-2-2020-2-48-8, 08, 8
dd225a5e, 29-1-2020-2-37-49, 08, 8
512e5a5e, 29-1-2020-3-26-41, 04, 4
7ab77a5e, 24-2-2020-19-44-26, 08, 8
d9c47a5e, 24-2-2020-20-41-29, 03, 3
a6b15a5e, 29-1-2020-12-47-2, 0f, 15
d9bb7a5e, 24-2-2020-20-3-5, 04, 4
1f245b5e, 29-1-2020-20-55-27, 01, 1
56237b5e, 25-2-2020-3-24-38, 0e, 14
9426595e, 28-1-2020-8-41-24, 00, 0
b72c595e, 28-1-2020-9-7-35, 0e, 14
5e87595e, 28-1-2020-15-34-22, 03, 3
5fa65a5e, 29-1-2020-11-58-55, 0a, 10
a001595e, 28-1-2020-6-3-44, 00, 0
e3aa7a5e, 24-2-2020-18-50-43, 0c, 12
abde7a5e, 25-2-2020--2-31-39, 04, 4
cbe0595e, 29-1-2020--3-55-55, 10, 16
d0345a5e, 29-1-2020-3-54-24, 0e, 14
813b5a5e, 29-1-2020-4-22-57, 0d, 13
9534595e, 28-1-2020-9-41-9, 0c, 12
9053595e, 28-1-2020-11-53-20, 04, 4
96b67a5e, 24-2-2020-19-40-38, 05, 5
1a067b5e, 25-2-2020-1-19-54, 04, 4
dce87a5e, 25-2-2020--1-15-8, 02, 2
c4a7595e, 28-1-2020-17-52-36, 0b, 11
2e77595e, 28-1-2020-14-25-18, 04, 4
bff67a5e, 25-2-2020-0-14-23, 03, 3
c6c35a5e, 29-1-2020-14-4-22, 0c, 12
416c595e, 28-1-2020-13-38-41, 05, 5
916f5a5e, 29-1-2020-8-5-5, 08, 8
d8b5595e, 28-1-2020-18-52-40, 05, 5
2143595e, 28-1-2020-10-43-13, 0a, 10
c057595e, 28-1-2020-12-11-12, 08, 8
b2a45a5e, 29-1-2020-11-51-46, 09, 9
5b9a595e, 28-1-2020-16-55-23, 04, 4
36ca5a5e, 29-1-2020-14-31-50, 0a, 10
8975595e, 28-1-2020-14-18-17, 01, 1
512e5a5e, 29-1-2020-3-26-41, 04, 4
5d535a5e, 29-1-2020-6-4-45, 04, 4
5078595e, 28-1-2020-14-30-8, 02, 2
31305a5e, 29-1-2020-3-34-41, 0f, 15
49e4595e, 29-1-2020--2-10-49, 0b, 11
0b505a5e, 29-1-2020-5-50-35, 05, 5
f4eb585e, 28-1-2020-4-31-16, 00, 0
88a2595e, 28-1-2020-17-30-16, 08, 8
cd9e5a5e, 29-1-2020-11-26-37, 04, 4
287d595e, 28-1-2020-14-50-48, 09, 9
7a445a5e, 29-1-2020-5-1-14, 0a, 10
d17c595e, 28-1-2020-14-49-21, 0f, 15
